ID,Holder,Number,EIngebaut (von oben),Position,Formula,Minerale,Description,Comment,Referenz,SiO2,TiO2,Al2O3,Cr2O3,CrO3,Fe2O3,FeO,NiO,MgO,MnO,CaO,Na2O,K2O,H2O,Li2O,BeO,CO2,P2O5,SO3,ClO,V2O5,CoO,ZnO,As2O3,Rb2O,SrO,Y2O3,ZrO2,NbO2,SnO2,Cs2O,BaO,WO3,REE2O3,Sc2O3 ,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,HfO2,PbO,ThO2,UO2,U3O8,Si,Mg,Fe,Ca,B,N,Na,Ni,Ti,Mn,F,Li,S,C,P,Cl,Co,Cu,Zn,An,Cd,Sc,Cr,Pt,Tb,Hf,Nb,Ce,Cs,Ga,Be,Ag,Ru,As,Se,Al,Ge,In,Br,Ir,Mo,Sn,Sb,Dy,Pd,Er,Ta,Re,Sr,Rh,Te,Au,I,O,Hg,La,Tl,Pb,Bi,Ba,V,W,Y,Zr,Total,cps/nA,TAP1,TAPL2,/,TAPL4,/,,PET1,PETL2,PETL3,/,PETH5,,/,/,LIFL3,/,LIFH5,sonstige Kristalle
336,STDmet1,,nein,,AgRM2,,,,AG_Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01105,0.00052,,,,,,,,,,,,,99.94,,,,,,,,,,0.00045,0.00236,,,,,,,,,,,,,,,0.00056,0.00408,,,,,,99.95902,,,,,,,,,,,,,,,,,,,
337,STDmet1,,nein,,AuNA2,,,,Kovacs et al. 2009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0989,,,,,0.1102,0.000396,0.00625,,,,,,,0.0114,0.1062,0.0111,,0.0104,,0.00275,0.119,,,,,,,,5.4,,0.0106,0.0103,,,,,,,0.1114,0.0111,,0.1096,,,,,,0.0106,93.84,,,,,,0.0108,0.011,,,,,,100.001996,,,,,,,,,,,,,,,,,,,
338,STDmet1,,nein,,Ru,,,,Moritz Jansen (Bergbaumuseum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
339,3R_vergossen,1,nein,,Fe,,,"RFA Standard, vergossen  ",in house STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,
340,3R_vergossen,2,nein,,"FexO x=0,949",,"Wu-20, Synth. ","RFA Standard, vergossen  ",Höfer et al. 2000,,,,,,5.10,94.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
341,3R_vergossen,3,nein,,Fe3O4,,,"RFA Standard, vergossen  ","Jarosewich Standard, Smithsonian, USNM 114887",,,,,,67.5,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.16,,,,,,,,,,,,,,,,,,,
342,3R_vergossen,5,nein,,,Almandine,,"RFA Standard, vergossen  ","McGuire, Smithsonian, USNM 112140",42.24,,12.37,,,,7.69,,31.71,,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.60,,,,,,,,,,,,,,,,,,,
343,3R_vergossen,6,nein,,,Almandine,"A-5, Synth.","RFA Standard, vergossen  ","Geiger et al. 1987, Geiger and Rossman 1994, Geiger and Feenstra 1997",44.71,,25.29,,,,,,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
344,3R_vergossen,7,nein,,,Skiagit,"N-125, Synth.","RFA Standard, vergossen  ","in house Standard, Alex Doroshev",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,3R_vergossen,18,nein,,,Apatite,,"RFA Standard, vergossen  ","Jarosewich Standard, Smithsonian, USNM 104021",0.34,,0.07,,,0.06,,,0.01,0.01,54.02,0.23,0.01,0.01,,,,40.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.94,,,,,,,,,,,,,,,,,,,
346,3R_vergossen,19,nein,,,Scapolite,,"RFA Standard, vergossen  ","Jarosewich Standard, Smithsonian, USNM R-6600",49.78,,25.05,,,,0.17,,,,13.58,5.2,0.94,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.86,,,,,,,,,,,,,,,,,,,
347,3R_vergossen,22,nein,,,Siderit,,"RFA Standard, vergossen  ","Jarosewich Standard, Smithsonian, USNM R-2460",,,,,,,59.08,,,2.95,,,,,,,37.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91,,,,,,,,,,,,,,,,,,,
348,3R_vergossen,28,nein,,Sn,,,"RFA Standard, vergossen  ",in house STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,,,,,99.998,,,,,,,,,,,,,,,,,,,
,AGA,,,,,,,AGA1,Ag_Standards_AGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,,,,,,,,,,,,,,,19.95,0.211,,,,,,,,,,,,,77.58,,,,,,,,,,0.29,0.05,,,,,,,,,1.48,,,,,,0.207,0.194,,,,,,100.001,,,,,,,,,,,,,,,,,,,
,AGA,,,,,,,AGA2,Ag_Standards_AGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,,,,,,,,,,,,,,10.00,0.502,,,,,,,,,,,,,87.13,,,,,,,,,,0.52,0.19,,,,,,,,,0.5,,,,,,1.02,0.113,,,,,,100.002,,,,,,,,,,,,,,,,,,,
,AGA,,,,,,,AGA3,Ag_Standards_AGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,4.91,0.816,,,,,,,,,,,,,90.22,,,,,,,,,,0.921,0.459,,,,,,,,,0.26,,,,,,1.89,0.5,,,,,,99.996,,,,,,,,,,,,,,,,,,,
